"245","Jakob-Fügli-Strasse 18, 8048 Zürich, ZH"
"246","CHF 1,460.—"
"247","2.5 rooms, 40 m²"
"248","Sprecherstrasse 5, 8032 Zürich, ZH"
"249","CHF 1,465.—"
"250","3 rooms, 60 m²"
"251","Caspar Wüst-Strasse 38, 8052 Zürich, ZH"
"252","CHF 1,475.—"
"253","1.5 rooms, 44 m²"
"254","Herrligstrasse 19, 8048 Zürich, ZH"
"255","CHF 1,480.—"
"256","2 rooms, 56 m²"
"257","Forchstrasse 319, 8008 Zürich, ZH"
"258","CHF 1,480.—"
"259","3 rooms, 66 m²"
"260","Saumackerstrasse 75/77, 8048 Zürich, ZH"
"261","CHF 1,488.—"
"262","4 rooms, 80 m²"
"263","Döltschiweg 25, 8055 Zürich, ZH"
"264","CHF 1,488.—"
"265","1.5 rooms, 24 m²"
"266","Jakob-Fügli-Strasse 18, 8048 Zürich, ZH"
"267","CHF 1,490.—"
"268","1.5 rooms, 30 m²"
"269","8055 Zürich, ZH"
"270","CHF 1,490.—"
"271","1 room, 33 m²"
"272","Brauerstrasse 27, 8004 Zürich, ZH"
"273","CHF 1,490.—"
"274","1 room, 28 m²"
"275","8044 Zürich, ZH"
"276","CHF 1,500.—"
"277","4 rooms"
"278","Freilagerstrasse 5, 8047 Zürich, ZH"
"279","CHF 1,500.—"
"280","1.5 rooms, 23 m²"
"281","Jakob-Fügli-Strasse 18, 8048 Zürich, ZH"
"282","CHF 1,510.—"
"283","1 room, 26 m²"
"284","8008 Zürich, ZH"
"285","CHF 1,512.—"
"286","1.5 rooms, 42 m²"
"287","Karstlernstrasse 14, 8048 Zürich, ZH"
"288","CHF 1,520.—"
"289","1.5 rooms, 30 m²"
"290","8055 Zürich, ZH"
"291","CHF 1,530.—"
"292","1.5 rooms, 36 m²"
"293","Habsburgstrasse 2, 8037 Zürich, ZH"
"294","CHF 1,548.—"
"295","1 room, 36 m²"
"296","Habsburgstrasse 2, 8037 Zürich, ZH"
"297","CHF 1,548.—"
"298","1.5 rooms, 32 m²"
"299","Stauffacherstrasse 178/180, 8004 Zürich, ZH"
"300","CHF 1,550.—"
"301","1 room, 25 m²"
"302","Salvatorstrasse 4, 8050 Zürich, ZH"
"303","CHF 1,550.—"
"304","1.5 rooms, 41 m²"
"305","Kügeliloostrasse 85 + 101, 8046 Zürich, ZH"
"306","CHF 1,550.—"
"307","2 rooms, 43 m²"
"308","Albisriederstrasse 386, 8047 Zürich, ZH"
"309","CHF 1,580.—"
"310","1.5 rooms, 23 m²"
"311","Hohlstrasse 104, 8004 Zürich, ZH"
"312","CHF 1,590.—"
"313","2.5 rooms, 44 m²"
"314","Kügeliloostrasse 99, 8046 Zürich, ZH"
"315","CHF 1,590.—"
"316","1 room"
"317","Niederdorfstrasse 1, 8001 Zürich, ZH"
"318","CHF 1,600.—"
"319","1 room"
"320","Niederdorfstrasse 1, 8001 Zürich, ZH"
"321","CHF 1,600.—"
"322","1.5 rooms, 46 m²"
"323","Karstlernstrasse 14, 8048 Zürich, ZH"
"324","CHF 1,600.—"
"325","3.5 rooms, 100 m²"
"326","Turbinenstrasse 44, 8005 Zürich, ZH"
"327","CHF 1,600.—"
"328","1.5 rooms, 30 m²"
"329","Hohlstrasse 100, 8004 Zürich, ZH"
"330","CHF 1,615.—"
"331","2 rooms, 60 m²"
"332","8049 Zürich, ZH"
"333","CHF 1,619.—"
"334","1.5 rooms"
"335","Brüderhofweg 31, 8057 Zürich, ZH"
"336","CHF 1,620.—"
"337","2.5 rooms"
